dt_created,dt_updated,dt_filename,advertiser_id,country_name,insertion_order_name,insertion_order_id,unique_reach_total_reach,unique_reach_click_reach,unique_reach_impression_reach,impressions,unique_reach_average_impression_frequency,fetch_date
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018754544,236839,1092,236746,736885,3.11,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018746371,189830,3363,189830,558408,2.94,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018686212,649879,19040,649853,2822312,4.34,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018781675,151727,1909,151636,506487,3.34,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017940832,543783,9389,540549,2104453,3.89,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018732938,523337,12236,523337,1254075,2.4,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017743009,1148262,15703,1148216,2249106,1.96,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018682442,547671,12536,547618,2036477,3.72,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1019045836,201818,4641,201812,747173,3.7,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018737104,898488,18935,898488,2205662,2.45,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1019111068,20857,,20857,33111,1.59,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1019133976,268235,2202,268093,759737,2.83,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1019129905,749523,8094,748804,2362797,3.16,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018687241,443666,8876,443635,1506139,3.39,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017953463,971640,45763,971632,5839455,6.01,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1017750030,1157365,12544,1157144,2557594,2.21,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1019108188,748506,248,748506,2015564,2.69,26-11-2024
2024-11-26T02:07:55.670000,2024-11-26T02:13:39.640000,ad.csv,0,IN,adsdd,1018746545,166934,4074,166934,535032,3.21,26-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017954531,188644,4491,188644,849536,4.5,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1019045836,201818,4641,201812,747173,3.7,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018783442,213248,2319,212803,573983,2.7,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1019111068,20857,,20857,33111,1.59,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017954594,815198,31566,815164,4902920,6.01,27-11-2024
